=====  ==================================================================  ===================  =======  ========  ==============  ============  =============  ===========  ============================  ===============================================================================================================
  pid  name                                                                create_time            cores  status      memory_usage    read_bytes    write_bytes    n_threads  username                      path
=====  ==================================================================  ===================  =======  ========  ==============  ============  =============  ===========  ============================  ===============================================================================================================
 4184  svchost.exe                                                         2020-01-24 18:10:02       12  running          1024000             0              0            5  NT AUTHORITY\LOCAL SERVICE    C:\Windows\System32\svchost.exe
 4400  svchost.exe                                                         2020-01-24 18:10:02       12  running          6238208        348340            160           18  NT AUTHORITY\SYSTEM           C:\Windows\System32\svchost.exe
 4508  svchost.exe                                                         2020-01-24 18:10:02       12  running          1359872             0              0            5  NT AUTHORITY\SYSTEM           C:\Windows\System32\svchost.exe
 4644  spoolsv.exe                                                         2020-01-24 18:10:02       12  running          3108864           232           2114            7  NT AUTHORITY\SYSTEM           C:\Windows\System32\spoolsv.exe
 4744  wlanext.exe                                                         2020-01-24 18:10:02       12  running          1323008        936777              0            9  NT AUTHORITY\SYSTEM           C:\Windows\System32\wlanext.exe
 4760  svchost.exe                                                         2020-01-24 18:10:02       12  running          5779456           116          32928           13  NT AUTHORITY\LOCAL SERVICE    C:\Windows\System32\svchost.exe
 4772  conhost.exe                                                         2020-01-24 18:10:02       12  running            65536             0              0            2  NT AUTHORITY\SYSTEM           C:\Windows\System32\conhost.exe
 4856  HPSupportSolutionsFrameworkService.exe                              2020-01-24 18:12:05       12  running         10362880      22665455        3783023           34  NT AUTHORITY\SYSTEM           C:\Program Files (x86)\Hewlett-Packard\HP Support Solutions\HPSupportSolutionsFrameworkService.exe
 4924  svchost.exe                                                         2020-01-24 18:10:02       12  running           831488        126324         215848            6  NT AUTHORITY\NETWORK SERVICE  C:\Windows\System32\svchost.exe
 4956  svchost.exe                                                         2020-01-24 18:28:35       12  running          1855488           328              0            3  NT AUTHORITY\SYSTEM           C:\Windows\System32\svchost.exe
 5036  HPJumpStartBridge.exe                                               2020-01-24 18:12:04       12  running          5394432        784497              0            5  NT AUTHORITY\SYSTEM           C:\Program Files (x86)\HP\HP JumpStart Bridge\HPJumpStartBridge.exe
 5220  svchost.exe                                                         2020-01-28 11:27:02       12  running           548864          4197              0            4  NT AUTHORITY\SYSTEM           C:\Windows\System32\svchost.exe
 5256  svchost.exe                                                         2020-01-25 16:34:10       12  running           311296        634880         139264            5  NT AUTHORITY\SYSTEM           C:\Windows\System32\svchost.exe
 5360  svchost.exe                                                         2020-01-24 18:10:03       12  running          4186112         20350          90793           12  NT AUTHORITY\LOCAL SERVICE    C:\Windows\System32\svchost.exe
 5600  vmware-authd.exe                                                    2020-01-24 18:10:03       12  running          2613248      16927687           4952            6  NT AUTHORITY\SYSTEM           C:\Program Files (x86)\VMware\VMware Workstation\vmware-authd.exe
 5716  svchost.exe                                                         2020-01-24 18:10:03       12  running          7835648      92136308        3333984           10  NT AUTHORITY\SYSTEM           C:\Windows\System32\svchost.exe
 5724  svchost.exe                                                         2020-01-24 18:10:03       12  running          2949120       3462030         196106            7  NT AUTHORITY\NETWORK SERVICE  C:\Windows\System32\svchost.exe
 5732  svchost.exe                                                         2020-01-24 18:10:03       12  running           913408        134750              0            5  NT AUTHORITY\SYSTEM           C:\Windows\System32\svchost.exe
 5740  svchost.exe                                                         2020-01-24 18:10:03       12  running         10878976       7155567        4393083           13  NT AUTHORITY\SYSTEM           C:\Windows\System32\svchost.exe
 5748  IntelCpHDCPSvc.exe                                                  2020-01-24 18:10:03       12  running           561152          1126              0            3  NT AUTHORITY\SYSTEM           C:\Windows\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_b261b2ab559fdee8\IntelCpHDCPSvc.exe
 5756  BTDevMgr.exe                                                        2020-01-24 18:10:03       12  running           884736             0          36955            2  NT AUTHORITY\SYSTEM           C:\Program Files (x86)\Realtek\REALTEK Bluetooth\BTDevMgr.exe
 5764  svchost.exe                                                         2020-01-24 18:10:03       12  running         35561472     240659550      229963776           18  NT AUTHORITY\LOCAL SERVICE    C:\Windows\System32\svchost.exe
 5780  esif_uf.exe                                                         2020-01-24 18:10:03       12  running          1396736             0             48            3  NT AUTHORITY\SYSTEM           C:\Windows\System32\Intel\DPTF\esif_uf.exe
 5788  ETDService.exe                                                      2020-01-24 18:10:03       12  running           417792      14497408              0            4  NT AUTHORITY\SYSTEM           C:\Windows\System32\ETDService.exe
 5820  OfficeClickToRun.exe                                                2020-01-24 18:10:03       12  running         30601216      33127121        2033023           21  NT AUTHORITY\SYSTEM           C:\Program Files\Common Files\microsoft shared\ClickToRun\OfficeClickToRun.exe
 5924  postgres.exe                                                        2020-01-24 18:10:03       12  running         26443776      59466365          11713            3  NT AUTHORITY\SYSTEM           C:\Program Files\AccessData\PostgreSQL\9.6\bin\postgres.exe
